,Austin,California,New York
Transitions totales,100327.0,37818.0,14525.0
Cycles (démarrages OFF→ON),50164.0,18910.0,7265.0
Cycles / jour (moyenne),137.44,12.94,39.27
Durée ON - moyenne (min),78.153,47.964,95.562
Durée ON - médiane (min),30.0,30.0,30.0
Durée ON - min observée (min),15.0,15.0,15.0
Durée ON - max observée (min),5430.0,2745.0,43515.0
Durée ON - écart-type (min),185.412,71.75,790.907
Durée OFF - moyenne (min),182.889,590.348,813.964
Durée OFF - médiane (min),15.0,30.0,30.0
Durée OFF - min observée (min),15.0,15.0,15.0
Durée OFF - max observée (min),525540.0,388275.0,264960.0
Durée OFF - écart-type (min),3544.412,7281.67,12176.61
% cycles ON < 30 min,33.365,35.42,29.814
Duty cycle global (%),29.929,7.506,10.481
Duty cycle - Hiver (%),1.835,0.62,
Duty cycle - Printemps (%),23.211,3.053,8.997
Duty cycle - Été (%),68.203,15.434,11.382
Duty cycle - Automne (%),26.126,10.849,9.877
